iter,nfev,E
 863, 1733,-108.646608424578
 864, 1735,-108.646636476645
 865, 1737,-108.646591809347
 866, 1739,-108.646596083766
 867, 1741,-108.646564141674
 868, 1742,-108.646637546721
 869, 1744,-108.646621440848
 870, 1746,-108.646650906081
 871, 1748,-108.646605868085
 872, 1750,-108.646635741786
 873, 1752,-108.646657944129
 874, 1754,-108.646631617359
 875, 1755,-108.646703916144
 876, 1757,-108.646691274778
 877, 1758,-108.646730500434
 878, 1760,-108.646696289948
 879, 1762,-108.646681032856
 880, 1764,-108.646770725869
 881, 1766,-108.646734249347
 882, 1768,-108.646773367387
 883, 1770,-108.646748399369
 884, 1772,-108.646760973188
 885, 1774,-108.646727056780
 886, 1776,-108.646793505505
 887, 1778,-108.646800236982
 888, 1780,-108.646770472821
 889, 1782,-108.646783805896
 890, 1784,-108.646775046529
 891, 1786,-108.646807311631
 892, 1788,-108.646758008373
 893, 1789,-108.646866709539
 894, 1790,-108.646889968530
 895, 1791,-108.646948387378
 896, 1793,-108.646924595673
 897, 1795,-108.646916713612
 898, 1797,-108.646941718919
 899, 1799,-108.646948190466
 900, 1800,-108.646976265240
 901, 1802,-108.646983821366
 902, 1804,-108.646943874747
 903, 1806,-108.646937558654
 904, 1808,-108.646962151960
 905, 1810,-108.646972578331
 906, 1812,-108.647004186858
 907, 1813,-108.647014773659
 908, 1815,-108.647002780671
 909, 1817,-108.647001074718
 910, 1819,-108.646963578295
 911, 1821,-108.647021099028
 912, 1822,-108.647041761131
 913, 1824,-108.647044462066
 914, 1826,-108.647054393236
 915, 1828,-108.647026918802
 916, 1830,-108.647026456161
 917, 1831,-108.647120939452
 918, 1833,-108.647122134824
 919, 1835,-108.647116198866
 920, 1837,-108.647088906273
 921, 1839,-108.647082195867
 922, 1841,-108.647138773770
 923, 1843,-108.647145369311
 924, 1845,-108.647135056608
 925, 1846,-108.647174327365
 926, 1847,-108.647187784123
 927, 1849,-108.647154696206
 928, 1851,-108.647177358060
 929, 1853,-108.647159166661
 930, 1854,-108.647210468496
 931, 1856,-108.647183776669
 932, 1858,-108.647177058752
 933, 1860,-108.647207718868
 934, 1862,-108.647192401301
